,0,1
metasub_carpet_fabric,,837.0
metasub_cell-phone_screen_and_plastic_cover,,837.0
metasub_cell_cover_and_screen,,837.0
metasub_control_air,,837.0
metasub_copper_wire,,837.0
metasub_fake_leather,,837.0
metasub_faux_leather,,837.0
metasub_glass_rubber_plastic,,837.0
metasub_human_hand,,837.0
metasub_leather_seat,,837.0
metasub_metal__painted_plastic__plastic,,837.0
metasub_metal_and_formica,,837.0
metasub_metal_and_marble,,837.0
metasub_metal_rubber,,837.0
metasub_metal_with_wooden_handle,,837.0
metasub_negative_control,,837.0
metasub_negative_control_(air),,837.0
metasub_new_ork_city,,837.0
metasub_painted_wood,,837.0
metasub_plastic_and_glass,,837.0
metasub_plastic_and_rubber,,837.0
metasub_plastic_wool_like_belt,,837.0
metasub_positive_control,,837.0
metasub_positive_control_zymo,,837.0
metasub_stainless_steel,,837.0
metasub_synthetic_leather,,837.0
metasub_touchscreen_surface,,837.0
virus_lineage,,7085.0
virus_name,,7085.0
