,metasub_sub_saharan_africa,metasub_north_america,metasub_south_america,metasub_europe,metasub_oceania,metasub_east_asia,metasub_middle_east
Citrobacter freundii complex sp. CFNIH3,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Citrobacter freundii complex sp. CFNIH9,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Fairly Observed
Kosakonia cowanii,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Kosakonia sacchari,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed
Kosakonia radicincitans,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed
Kosakonia oryzae,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed
Pluralibacter gergoviae,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed
[Enterobacter] lignolyticus,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Leclercia sp. LSNIH1,Always Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed
Leclercia adecarboxylata,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed
Raoultella ornithinolytica,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Always Observed
Raoultella planticola,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Enterobacteriaceae bacterium strain FGI 57,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Plautia stali symbiont,Always Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Enterobacteriaceae bacterium ENNIH1,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed
Enterobacteriaceae bacterium ENNIH2,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Fairly Observed
Enterobacteriaceae bacterium ENNIH3,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
secondary endosymbiont of Ctenarytaina eucalypti,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
secondary endosymbiont of Heteropsylla cubana,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Hamiltonella defensa,Rarely Observed,Rarely Observed,Rarely Observed,Fairly Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Blochmannia pennsylvanicus,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Blochmannia chromaiodes,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Doolittlea endobia,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Candidatus Hoaglandella endobia,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Candidatus Gullanella endobia,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Candidatus Mikella endobia,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Salmonella enterica,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed
Salmonella bongori,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
Lelliottia amnigena,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed
Lelliottia sp. PFL01,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Escherichia coli,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Mostly Observed,Mostly Observed,Always Observed
Escherichia albertii,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Escherichia marmotae,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed
Escherichia fergusonii,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Cedecea neteri,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Shimwellia blattae,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed
Kluyvera intermedia,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed
Gibbsiella quercinecans,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed
Shigella flexneri,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Shigella dysenteriae,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Candidatus Riesia pediculicola,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Candidatus Moranella endobia,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Ishikawaella capsulata,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Serratia marcescens,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed
Serratia ficaria,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Serratia fonticola,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Serratia plymuthica,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Serratia liquefaciens,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Serratia sp. FGI94,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
Serratia proteamaculans,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed
Serratia sp. YD25,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed
Serratia rubidaea,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed
Serratia sp. ATCC 39006,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed
Serratia sp. FS14,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Serratia sp. SCBI,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Yersinia rohdei,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed
Yersinia enterocolitica,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
Yersinia ruckeri,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
Yersinia frederiksenii,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
Yersinia aleksiciae,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
Yersinia aldovae,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed
Yersinia intermedia,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Yersinia sp. FDAARGOS_228,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Yersinia pseudotuberculosis,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Yersinia similis,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Yersinia pestis,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Rahnella aquatilis,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Rahnella sp. Y9602,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Chania multitudinisentens,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
Pantoea sp. PSNIH1,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Mostly Observed
Pantoea sp. PSNIH2,Always Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Pantoea vagans,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Always Observed
Pantoea alhagi,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Pantoea ananatis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Pantoea sp. At-9b,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Pantoea rwandensis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed
Pantoea stewartii,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
