,metasub_sub_saharan_africa,metasub_north_america,metasub_south_america,metasub_europe,metasub_oceania,metasub_east_asia,metasub_middle_east
Caulobacteraceae bacterium OTSz_A_272,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Azospirillum brasilense,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Azospirillum lipoferum,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Azospirillum thiophilum,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Azospirillum humicireducens,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Magnetospirillum magneticum,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Magnetospirillum gryphiswaldense,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Magnetospirillum sp. XM-1,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Magnetospirillum sp. ME-1,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Thalassospira sp. CSC3H3,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Thalassospira xiamenensis,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Fairly Observed,Rarely Observed
Tistrella mobilis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Niveispirillum cyanobacteriorum,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Nitrospirillum amazonense,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Rhodospirillum centenum,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Rhodospirillum rubrum,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Magnetospira sp. QH-2,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Pararhodospirillum photometricum,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Haematospirillum jordaniae,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Roseomonas sp. FDAARGOS_362,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Always Observed
Roseomonas gilardii,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Acetobacter pasteurianus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Acetobacter tropicalis,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Acetobacter persici,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Acetobacter senegalensis,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Acetobacter pomorum,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Acetobacter sp. SLV-7,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Acetobacter aceti,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Gluconobacter oxydans,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Gluconobacter albidus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Komagataeibacter xylinus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Komagataeibacter nataicola,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Komagataeibacter europaeus,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Komagataeibacter medellinensis,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Granulibacter bethesdensis,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Gluconacetobacter diazotrophicus,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Acidiphilium multivorum,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Acidiphilium cryptum,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Neoasaia chiangmaiensis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Kozakia baliensis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Asaia bogorensis,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Parasaccharibacter apium,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Paracoccus yeei,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed
Paracoccus contaminans,Mostly Observed,Fairly Observed,Always Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Paracoccus zhejiangensis,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Paracoccus denitrificans,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Paracoccus aminophilus,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Paracoccus aminovorans,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Paracoccus sp. CBA4604,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Paracoccus sp. BM15,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Phaeobacter gallaeciensis,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Phaeobacter piscinae,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Phaeobacter inhibens,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Phaeobacter porticola,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Fairly Observed,Rarely Observed
Rhodobacter sphaeroides,Mostly Observed,Fairly Observed,Always Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Rhodobacter capsulatus,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Rhodobacter sp. CZR27,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Rhodobacter sp. LPB0142,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Rhodovulum sulfidophilum,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Rhodovulum sp. P5,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Rhodovulum sp. MB263,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Thioclava nitratireducens,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Celeribacter indicus,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Celeribacter manganoxidans,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Celeribacter ethanolicus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Celeribacter marinus,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Leisingera methylohalidivorans,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Labrenzia sp. VG12,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Labrenzia aggregata,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Labrenzia sp. CP4,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Defluviimonas alba,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Marinovum algicola,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Pannonibacter phragmitetus,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Ruegeria mobilis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Never Observed,Fairly Observed,Rarely Observed
Ruegeria pomeroyi,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Ruegeria sp. TM1040,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Rhodobacteraceae bacterium QY30,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Ketogulonicigenium robustum,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Ketogulonicigenium vulgare,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Confluentimicrobium sp. EMB200-NS6,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Jannaschia sp. CCS1,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Sulfitobacter sp. AM1-D1,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sulfitobacter pseudonitzschiae,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Sagittula sp. P11,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Thiobacimonas profunda,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Yangia sp. CCB-MM3,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Roseibacterium elongatum,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Pelagibaca abyssi,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Dinoroseobacter shibae,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Roseobacter denitrificans,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Fairly Observed,Rarely Observed
Roseobacter litoralis,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Fairly Observed,Rarely Observed
Roseovarius mucosus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Tateyamaria omphalii,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Antarctobacter heliothermus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Loktanella vestfoldensis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Rhodobaca barguzinensis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Octadecabacter arcticus,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Octadecabacter antarcticus,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Octadecabacter temperatus,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Planktomarina temperata,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Marivivens sp. JLT3646,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Fairly Observed,Rarely Observed
Halocynthiibacter arcticus,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Hyphomonas neptunium,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Hyphomonas sp. Mor2,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Maricaulis maris,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Rarely Observed
Hirschia baltica,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Sphingobium yanoikuyae,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Mostly Observed,Mostly Observed,Always Observed
Sphingobium herbicidovorans,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingobium sp. EP60837,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingobium hydrophobicum,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Sphingobium chlorophenolicum,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingobium cloacae,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Sphingobium japonicum,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingobium sp. TKS,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingobium baderi,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingobium sp. SYK-6,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingobium sp. YBL2,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingobium sp. RAC03,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingobium sp. MI1205,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingobium indicum,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Rarely Observed
Sphingomonas sanxanigenens,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Sphingomonas sp. LK11,Mostly Observed,Fairly Observed,Always Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Sphingomonas sp. KC8,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingomonas koreensis,Mostly Observed,Fairly Observed,Always Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Sphingomonas taxi,Mostly Observed,Fairly Observed,Always Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Sphingomonas sp. NIC1,Mostly Observed,Fairly Observed,Always Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Sphingomonas hengshuiensis,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Sphingomonas melonis,Mostly Observed,Fairly Observed,Always Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Sphingomonas panacis,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Sphingomonas sp. LM7,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingomonas sp. MM-1,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Sphingomonas sp. Cra20,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingomonas sp. JJ-A5,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingomonas sp. DC-6,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingomonas wittichii,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingopyxis granuli,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Sphingopyxis macrogoltabida,Mostly Observed,Fairly Observed,Always Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Sphingopyxis sp. QXT-31,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingopyxis fribergensis,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Sphingopyxis alaskensis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingopyxis sp. 113P3,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingopyxis terrae,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingopyxis sp. LPB0140,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Novosphingobium resinovorum,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Novosphingobium pentaromativorans,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Novosphingobium aromaticivorans,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Novosphingobium sp. PP1Y,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Rhizorhabdus dicambivorans,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Blastomonas sp. RAC04,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingorhabdus flavimaris,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Rarely Observed
Sphingorhabdus sp. YGSMI21,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Sphingorhabdus sp. M41,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Citromicrobium sp. JL477,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Zymomonas mobilis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Altererythrobacter marensis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Altererythrobacter atlanticus,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Altererythrobacter dongtanensis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Altererythrobacter mangrovi,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Altererythrobacter namhicola,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Altererythrobacter epoxidivorans,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Altererythrobacter ishigakiensis,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Croceicoccus marinus,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Croceicoccus naphthovorans,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Erythrobacter litoralis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Erythrobacter flavus,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Erythrobacter seohaensis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Erythrobacter gangjinensis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Erythrobacter atlanticus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Porphyrobacter neustonensis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Porphyrobacter sp. LM 6,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Rickettsia bellii,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Rickettsia canadensis,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Rickettsia felis,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Rickettsia amblyommatis,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Rickettsia rhipicephali,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Rickettsia australis,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Rickettsia monacensis,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Rickettsia akari,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Rickettsia massiliae,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Rickettsia peacockii,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Rickettsia africae,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Rickettsia parkeri,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Rickettsia endosymbiont of Bemisia tabaci,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Orientia tsutsugamushi,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Wolbachia endosymbiont of Drosophila simulans,Rarely Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed
Wolbachia sp. wRi,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Wolbachia endosymbiont of Cimex lectularius,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Wolbachia endosymbiont of Brugia malayi,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Wolbachia endosymbiont of Drosophila melanogaster,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Rickettsiales bacterium Ac37b,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Polymorphum gilvum,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Micavibrio aeruginosavorus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Candidatus Puniceispirillum marinum,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Pelagibacter ubique,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
alpha proteobacterium HIMB59,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Rarely Observed
alpha proteobacterium HIMB5,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Rarely Observed
Candidatus Fonsibacter ubiquis,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Parvularcula bermudensis,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Candidatus Paracaedibacter acanthamoebae,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
endosymbiont of Acanthamoeba sp. UWC8,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Nucleicultrix amoebiphila,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Magnetococcus marinus,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Achromobacter xylosoxidans,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed
Achromobacter denitrificans,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
